osm_id,name,amenity_type,amenity,wheelchair,toilets:wheelchair,opening_hours,operator,description,is_accessible,latitude,longitude
node/12264961514,OPSM,wheelchair_accessible_place,,yes,,"Mo-We 08:30-17:30; Th,Fr 08:30-19:00; Sa 08:30-17:00; Su 10:00-17:00",,,True,-38.218904,145.039478
node/12264966541,Liquorland,wheelchair_accessible_place,,yes,,Mo-We 09:00-20:00; Th-Sa 09:00-21:00; Su 10:00-20:00,,,True,-38.2190733,145.0396346
node/12264970274,House,wheelchair_accessible_place,,yes,,,,,True,-38.2187624,145.0397727
node/12264985405,Chatime,wheelchair_accessible_place,cafe,yes,,,,,True,-38.2189617,145.0397439
node/12264997772,Cre8te,wheelchair_accessible_place,,yes,,,,,True,-38.2185512,145.0392157
node/12264997826,Mister Minit,wheelchair_accessible_place,,yes,,,,,True,-38.218824,145.0396275
node/12265021125,Soul Origin,wheelchair_accessible_place,cafe,yes,,,,,True,-38.2183777,145.0393331
node/12265023417,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-38.2186563,145.0396895
node/12270358600,The $2 Shop,wheelchair_accessible_place,,yes,,,,,True,-37.7864335,145.1265243
node/12270405558,Alter It,wheelchair_accessible_place,,yes,,,,,True,-37.7861921,145.1265961
node/12270426754,Ted's,wheelchair_accessible_place,,yes,,,,,True,-37.7859689,145.1262104
node/12270427440,Just Cuts,wheelchair_accessible_place,,yes,,,,,True,-37.7863918,145.1262326
node/12270427443,Wheel & Barrow,wheelchair_accessible_place,,yes,,,,,True,-37.7861381,145.1262156
node/12270427444,Cuts Only,wheelchair_accessible_place,,yes,,,,,True,-37.786048,145.1262037
node/12270427445,Toyworld,wheelchair_accessible_place,,yes,,,,,True,-37.7862883,145.1262317
node/12270427447,Doncaster Florist,wheelchair_accessible_place,,yes,,,,,True,-37.7861027,145.1263684
node/12270450901,Bakers Delight,wheelchair_accessible_place,,yes,,,,,True,-37.7861904,145.1265008
node/12270450902,Laser Clinics Australia,wheelchair_accessible_place,,yes,,,,,True,-37.7862572,145.1265186
node/12270450904,BWS,wheelchair_accessible_place,,yes,,,,,True,-37.7865599,145.1265284
node/12270450905,Sharetea,wheelchair_accessible_place,cafe,yes,,,,,True,-37.786526,145.1263349
node/12270450906,My Chemist,wheelchair_accessible_place,,yes,,Mo-We 09:00-17:30; Th-Fr 09:00-21:00; PH closed; Sa 09:00-18:00; Su 10:00-17:00,,,True,-37.7865105,145.1262325
node/12270450907,Lotto,wheelchair_accessible_place,,yes,,,,,True,-37.7862021,145.1263413
node/12270450909,Sushi Sushi,wheelchair_accessible_place,restaurant,yes,,,,,True,-37.7863278,145.1263408
node/12289093108,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8637771,145.3201651
node/12293313429,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.880135,145.2678651
node/12297865073,Leafy Lovers,wheelchair_accessible_place,,yes,,Mo-Fr 09:30-17:00; Sa 10:00-14:00; Su off,,,True,-38.1848869,145.0894843
node/12298079221,Katie's Koffee and Cake,wheelchair_accessible_place,cafe,yes,,Mo-Fr 07:30-15:00; Sa 07:30-14:00; Su off,,,True,-38.1847574,145.0896637
node/12298196128,Impact Realty Group,wheelchair_accessible_place,,yes,,,,,True,-38.1433506,145.1232785
node/12300392276,AnaBella Hair Studio,wheelchair_accessible_place,,yes,,"Mo-We,Fr 09:00-17:00; Th 09:00-20:00; Sa 08:00-16:00",,,True,-38.1843217,145.089371
node/12300426572,Pollen,wheelchair_accessible_place,,yes,,,,,True,-38.1845044,145.0893936
node/12300443591,Sea of Love,wheelchair_accessible_place,,yes,,Mo-Sa 09:30-17:00,,,True,-38.1843781,145.0893814
node/12301370581,Wheelchair Accessible Place,wheelchair_accessible_place,public_bookcase,yes,,"Mo-Su,PH 00:00-24:00",,,True,-37.8113913,145.0206246
node/12306501051,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,,,,True,-37.7580735,145.310823
node/12310570696,Tofu Shoten,wheelchair_accessible_place,,yes,,"Mo,We-Su 11:00-17:00; Tu off",,,True,-37.7722209,144.9605098
node/12310919475,Wheelchair Accessible Place,wheelchair_accessible_place,shower,yes,,24/7,Bayside City Council,,True,-37.9172899,144.986513
node/12316528010,Cellarbrations,wheelchair_accessible_place,,yes,,Su-Tu 10:00-20:00; We-Sa 10:00-21:00,,,True,-38.1651936,145.1879399
node/12317589891,Bottler,wheelchair_accessible_place,,yes,,,,,True,-37.8036392,145.1178443
node/12318806028,Foremost,wheelchair_accessible_place,cafe,yes,,"Mo-Fr 07:00-15:00; Sa,Su 07:30-15:00",,,True,-37.8291898,144.9708848
node/12319940833,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8081676,144.8902881
node/12324887105,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8170133,144.9926067
