tree_id,common_name,genus,dbh_cm,useful_life_years,useful_life_label,age_description,located_in,precinct,lat,lon,shade_score,suburb_id
1040197,Canary Island Date Palm,Phoenix,45.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81125342,144.9831302,0.0017,297979799
1040198,Canary Island Pine,Pinus,50.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81129682,144.9831804,0.0019,297979799
1040199,Canary Island Date Palm,Phoenix,50.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81112379,144.9829488,0.0019,297979799
1040201,Small-leaved Linden,Tilia,45.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81101425,144.9827419,0.0017,297979799
1040217,English Elm,Ulmus,89.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8111533,144.9820365,0.0034,297979799
1040218,English Elm,Ulmus,65.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81105372,144.982073,0.0025,297979799
1040224,Peppercorn Tree,Schinus,45.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81051477,144.9830017,0.0017,297979799
1040259,Algerian Oak,Quercus,70.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81041593,144.9812315,0.0027,297979799
1040261,Stone Pine,Pinus,55.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81071843,144.9811448,0.0021,297979799
1040268,Swamp White Oak,Quercus,45.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81107819,144.9812566,0.0017,297979799
1040272,Swamp White Oak,Quercus,45.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81138262,144.981247,0.0017,297979799
1040273,Canary Island Pine,Pinus,50.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81131432,144.9815733,0.0019,297979799
1040276,Macadamia Nut,Macadamia,20.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.81147841,144.9818505,0.0008,297979799
1040278,Spotted Gum,Corymbia,50.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81133835,144.9819234,0.0019,297979799
1040281,Canary Island Date Palm,Phoenix,10.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81149755,144.9823333,0.0004,297979799
1040286,Golden Ash,Fraxinus,45.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81158377,144.9826977,0.0017,297979799
1040289,Norfolk Island Pine,Araucaria,40.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81143182,144.9827824,0.0015,297979799
1040293,Jelly Palm,Butia,32.0,40,31 - 40 years,Mature,Park,East Melbourne,-37.81170658,144.9826912,0.0012,297979799
1040295,Jacaranda,Jacaranda,40.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81181684,144.9827526,0.0015,297979799
1040297,Jacaranda,Jacaranda,40.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.8117206,144.9821424,0.0015,297979799
1040302,English Elm,Ulmus,70.0,20,11 - 20 years,Mature,Park,East Melbourne,-37.81201841,144.9827554,0.0027,297979799
1040303,English Elm,Ulmus,80.0,30,21 - 30 years,Mature,Park,East Melbourne,-37.8120941,144.9826707,0.0031,297979799
