suburb_id,population_total,population_65_74,population_75_84,population_85_plus,need_assistance
212051323,16073,1349,1075,524,780
212051324,19265,1642,1320,665,1086
212051325,19889,1965,1420,519,1224
212051326,22928,1664,1168,660,1518
212051327,20652,2685,2204,1178,1500
212051567,9829,314,255,230,409
212051568,12052,612,479,295,525
213011328,7502,625,359,186,569
213011329,10038,718,221,92,600
213011331,8077,830,329,96,665
213011332,13082,1729,769,249,1101
213011333,13983,1663,658,136,1179
213011334,20581,1953,1105,391,1702
213011335,17454,1687,1103,529,1512
213011336,9445,640,381,229,678
213011337,12047,1026,614,338,1013
213011338,18558,1733,1235,412,1630
213011339,11726,836,463,296,1057
213011340,16910,1861,802,241,1055
213011569,18004,1632,799,157,1252
213011570,8653,305,115,16,351
213021341,13556,1370,887,398,818
213021342,18479,2003,919,402,1552
213021343,14931,1082,1064,606,1341
213021344,18753,1183,594,320,824
213021345,4952,353,166,44,253
213021346,15912,1789,813,303,740
213031347,19068,1361,592,296,1145
213031348,17131,971,573,334,1104
213031349,12573,952,366,114,478
213031350,9247,466,273,147,451
213031351,11735,643,357,169,645
213031352,15463,856,507,293,704
213041353,24717,2371,1187,431,1663
213041358,21208,1455,542,104,1386
213041359,17553,498,144,22,428
213041360,19539,961,450,108,858
213041461,5800,425,294,200,422
213041462,6377,267,78,11,261
213041463,20365,1242,477,95,924
213041571,9829,714,330,107,650
213041572,7598,150,34,9,211
213041573,2990,195,37,6,119
213041574,10098,357,91,15,300
213041575,16182,1051,410,75,790
213041576,11632,917,381,106,879
213041577,7886,1004,481,109,821
213041578,16658,1195,471,165,1238
213051361,18446,1535,575,185,1162
213051362,18772,1889,876,167,1204
213051363,11459,499,145,55,438
213051368,16810,1356,802,435,1188
213051464,19274,841,246,42,578
213051466,19091,654,142,7,477
213051467,19010,1593,900,402,1449
213051468,22341,1240,443,111,997
213051579,10616,248,85,46,390
213051580,14167,784,440,81,560
213051581,9565,385,139,73,423
213051582,10132,157,48,7,197
213051583,28116,913,341,78,807
213051584,7197,91,20,4,100
213051585,11182,453,228,49,425
213051586,9340,126,35,3,160
213051587,9596,220,51,11,188
213051588,19065,601,245,39,476
213051589,9032,270,81,20,411
213051590,13546,839,324,76,746
214011370,21976,1703,835,423,1521
214011371,23586,2408,1227,494,1705
214011372,19453,1817,1264,504,1746
214011373,18801,1996,1378,758,1056
214011374,24939,2266,1123,373,1294
214011375,17215,1682,1016,385,1105
214011376,13303,1042,402,83,588
214021377,13366,2215,1442,451,845
214021378,5995,1211,576,169,256
214021379,23970,3023,1843,511,1575
214021381,18734,2194,1446,531,801
214021382,19846,2445,1657,618,975
214021383,19811,3741,2054,592,1081
214021384,22944,3572,2720,1365,2104
214021385,18522,1999,1089,436,1042
214021591,15175,1661,1541,744,1217
214021592,10581,2043,1456,596,633
215011386,8500,1093,664,303,720
215011387,3204,515,222,62,188
215011388,16985,1857,1245,589,1117
215011389,3471,412,179,68,164
215011390,6956,971,628,320,562
215011391,3453,549,346,130,310
215011392,8504,1254,676,251,567
215011393,2766,427,235,97,175
215011394,6501,995,609,297,617
215021395,7700,786,415,133,402
215021396,4976,575,300,132,365
215021398,3726,530,241,106,203
215021399,6138,629,326,153,496
215021469,18027,1940,1150,492,1537
215021470,16408,1682,1068,507,1275
215031400,6184,950,547,286,517
215031401,6719,1138,670,193,429
215031402,3960,612,401,215,360
215031403,3740,362,132,74,179
215031404,11186,1116,813,417,737
215031405,6477,769,375,105,349
216011406,15636,1997,1270,540,1174
216011407,11121,1428,919,412,821
216011408,3927,486,230,55,192
216011409,4016,583,398,171,353
216011410,4193,660,393,103,334
216021411,6465,994,670,259,586
216021412,2843,394,175,34,151
216021413,12555,1661,879,364,881
216021414,8661,1536,1010,390,770
216031415,8312,1043,624,238,737
216031416,19928,1858,1102,573,1544
216031418,4017,456,182,42,184
216031419,10346,1290,683,196,672
216031593,9082,842,489,185,468
216031594,16520,1702,1171,413,1319
217011420,8920,1431,732,245,628
217011421,10346,1362,928,426,789
217011422,11230,1622,816,346,937
217011423,6301,1003,422,161,360
217031471,3491,551,389,131,289
217031472,12756,1536,1056,502,1117
217031473,5669,813,303,77,239
217031474,5395,740,427,186,451
217031475,7180,863,501,198,360
217031476,4008,730,292,81,172
217041477,7018,830,381,128,355
217041478,10014,1491,676,245,507
217041479,22405,2443,1422,525,1356
217041480,13337,1679,956,549,988
297979799,38,4,0,0,0
299999499,9089,613,152,29,536
