sensor_id,sensor_name,sensor_description,location_type,status,lat,lon,direction_1,direction_2,suburb_id,suburb_name
136,BirFed1120_T,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",Outdoor,A,-37.8184141,144.97357915,East,West,206041119,East Melbourne
137,BouHbr2353_T,"COM Pole 2353 - Towards the city, NAB Building",Outdoor,A,-37.81894815,144.94612292,East,West,206041118,Docklands
138,EntPark1671_T,"COM Pole 1671 - Enterprize Park, Queens Bridge",Outdoor,A,-37.81996544,144.95981454,East,West,206041505,Melbourne CBD - West
139,Signal1647_T,COM Pole 1647 - Sandridge Bridge Signal Box,Outdoor,A,-37.81959923,144.9632832,East,West,206041505,Melbourne CBD - West
140,Boyd2837_T,COM Pole 2837 - Boyd Park,Outdoor,A,-37.82590962,144.96185972,North,South,206041509,Southbank - East
141,474Fl_T,Awning of Nationwide Parking 474 Flinders Street,Outdoor,A,-37.81997273,144.95834911,East,West,206041505,Melbourne CBD - West
142,Hammer1584_T,COM Pole 1584 - Hammer Hall Entrance,Outdoor,A,-37.81970749,144.96795734,East,West,206041509,Southbank - East
143,Spencer_T,"Mounted on Toilet - Spencer Street, Batman Park",Outdoor,A,-37.821728,144.95557015,North,South,206041508,Southbank (West) - South Wharf
144,narrLibL1L1_T,narrm ngarrgu Library - Level 1 - Lift 1,Indoor,A,-37.80760657,144.95862847,In,Out,206041504,Melbourne CBD - North
145,narrLibL1L2_T,narrm ngarrgu Library - Level 1 - Lift 2,Indoor,A,-37.80763871,144.95850722,,,206041504,Melbourne CBD - North
146,narrLibL1L3_T,narrm ngarrgu Library - Level 1 - Lift 3,Indoor,A,-37.80766922,144.95840594,,,206041504,Melbourne CBD - North
147,narrLibMRL1_T,narrm ngarrgu Library - Level 1 - Meeting Room Lift 1,Indoor,A,-37.80769805,144.95832131,,,206041504,Melbourne CBD - North
148,narrLibMRL2_T,narrm ngarrgu Library - Level 1 - Meeting Room Lift 2,Indoor,A,-37.80772224,144.95823515,,,206041504,Melbourne CBD - North
149,narrLibL1MA_T,narrm ngarrgu Library - Level 1 Main Stairs A,Indoor,A,-37.80781158,144.9582219,,,206041504,Melbourne CBD - North
150,narrLibL1MB_T,narrm ngarrgu Library - Level 1 Main Stairs B,Indoor,A,-37.80791198,144.95820087,,,206041504,Melbourne CBD - North
151,narrLibL2CA_T,narrm ngarrgu Library - Level 2 - Collections Stairs A,Indoor,A,-37.80771581,144.9586238,In,Out,206041504,Melbourne CBD - North
152,narrLibL2S1_T,narrm ngarrgu Library - Level 2 - Study Area Lifts 1,Indoor,A,-37.80776728,144.95843977,,,206041504,Melbourne CBD - North
153,narrLibL2S2_T,narrm ngarrgu Library - Level 2 - Study Area Lifts 2,Indoor,A,-37.80780367,144.95829765,,,206041504,Melbourne CBD - North
154,narrLibL3C1_T,narrm ngarrgu Library - Level 3 Children's Library Door 1,Indoor,A,-37.80778437,144.95862772,In,Out,206041504,Melbourne CBD - North
155,narrLibL#C2_T,narrm ngarrgu Library - Level 3 Children's Library Door 2,Indoor,A,-37.80783201,144.95845043,,,206041504,Melbourne CBD - North
158,Eli514_T,514 Elizebeth Street,Indoor,A,-37.80657467,144.96007044,,,206041504,Melbourne CBD - North
159,Eli516_T,516 Elizeberth Street,Indoor,A,-37.80651646,144.96007934,,,206041504,Melbourne CBD - North
160,Swa420_T,"City Baths, 420 Swanston Street - Main Entry",Indoor,A,-37.80699526,144.96306214,,,206041504,Melbourne CBD - North
161,BirArt1109_T,Birrarung Marr - COM - Pole 1109,Outdoor,A,-37.81851276,144.97131336,East,West,206041503,Melbourne CBD - East
162,Eli489_T,iHub 489 Elizabeth Street,Outdoor,A,-37.80740397,144.95987909,North,South,206041504,Melbourne CBD - North
164,Lat526_T,I-Hub 526 La Trobe Street (Footpath),Outdoor,A,-37.813005,144.95160411,East,West,206041510,West Melbourne - Residential
165,Spen475_T,475 Spencer Street,Outdoor,A,-37.80953359,144.94939004,North,South,206041510,West Melbourne - Residential
166,Spen484_T,484 Spencer Street,Outdoor,A,-37.80896733,144.94931703,North,South,206041510,West Melbourne - Residential
167,Lat526_T,I-Hub 526 La Trobe Street (Crossing),Outdoor,A,-37.81304149,144.95155955,North,South,206041510,West Melbourne - Residential
179,Pow61_T,61-67 Power Street Southbank,Outdoor,A,-37.82392385,144.96299677,North,South,206041509,Southbank - East
180,Mac330_T,"Pumping Station No.2, 330 Macaulay Road",Outdoor,A,-37.79497059,144.93530329,East,West,206041121,Kensington (Vic.)
181,Eli368_T,368 Elizabeth Street,Outdoor,A,-37.81009465,144.96143149,North,South,206041504,Melbourne CBD - North
182,King163_T,163 King Street,Outdoor,A,-37.81627451,144.95550503,In,Out,206041505,Melbourne CBD - West
184,Eli124_T,124 Elizabeth Street,Outdoor,A,-37.81512416,144.96371988,North,South,206041505,Melbourne CBD - West
185,Eli197_T,197 Elizabeth Street,Outdoor,A,-37.81374643,144.96276183,North,InOut,206041505,Melbourne CBD - West
187,Swa330_T,RMIT Building 22 - 330 Swanston Street,Outdoor,A,-37.80942561,144.96395473,East,West,206041504,Melbourne CBD - North
188,RMIT51_T,RMIT Building 51 - 80-92 Victoria Street,Outdoor,A,-37.80663222,144.96456557,North,South,206041504,Melbourne CBD - North
