stop_id,stop_name,lat,lon,stop_url,location_type,parent_station,wheelchair_boarding,level_id,platform_code,mode,stop_code,is_wheelchair_accessible,is_wheelchair_inaccessible,suburb_id,suburb_name,routes_served,route_count
15395,Carramar Ct/Pindari Dr,-37.85487884,145.25229114,https://transport.vic.gov.au/stop/16139/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15395,False,False,211011251,Bayswater,"737,745",2
15396,Boronia Rd/Lewis Rd,-37.85670018,145.25356664,https://transport.vic.gov.au/stop/16140/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15396,False,False,211011251,Bayswater,"737,745",2
15397,Matlock Rd/Lewis Rd,-37.85872153,145.25253002,https://transport.vic.gov.au/stop/16141/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15397,False,False,211011251,Bayswater,"737,745",2
15398,Lewis Rd/Coleman Rd,-37.86149313,145.25164612,https://transport.vic.gov.au/stop/16142/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15398,False,False,211011251,Bayswater,"737,745",2
15399,Neville St/Coleman Rd,-37.86229296,145.24906958,https://transport.vic.gov.au/stop/16143/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15399,False,False,211011259,Wantirna,"737,745",2
154,Midway Cres/Childs Rd,-37.66066381,145.02817983,https://transport.vic.gov.au/stop/10119/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,154,False,False,209041529,Lalor - East,566,1
1540,Springvale Rd/Princes Hwy,-37.93373274,145.15713497,https://transport.vic.gov.au/stop/16144/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,1540,False,False,212041317,Springvale,800,1
15400,Berkley St/Coleman Rd,-37.86275943,145.2458984,https://transport.vic.gov.au/stop/16145/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15400,False,False,211011259,Wantirna,"737,745",2
15401,Suffolk St/Coleman Rd,-37.86250863,145.24418788,https://transport.vic.gov.au/stop/16146/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15401,False,False,211011259,Wantirna,"737,745",2
15402,Gateshead Dr/Coleman Rd,-37.86199247,145.24221086,https://transport.vic.gov.au/stop/16147/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15402,False,False,211011259,Wantirna,"737,745",2
15403,Stud Rd/Coleman Rd,-37.86119004,145.23977462,https://transport.vic.gov.au/stop/16148/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15403,False,False,211011259,Wantirna,"737,745",2
15405,Burwood Hwy/High Street Rd,-37.87377155,145.24767231,https://transport.vic.gov.au/stop/16150/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15405,False,False,211011260,Wantirna South,737,1
15406,Ravenhill Way/High Street Rd,-37.87552355,145.24368563,https://transport.vic.gov.au/stop/13386/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15406,False,False,211011260,Wantirna South,737,1
15407,Huntingdon Dr/High Street Rd,-37.87648653,145.24118421,https://transport.vic.gov.au/stop/16152/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15407,False,False,211011260,Wantirna South,"737,758",2
15408,Wallace Rd/High Street Rd,-37.87705627,145.23710035,https://transport.vic.gov.au/stop/13392/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15408,False,False,211011260,Wantirna South,737,1
1541,Albert Ave/Princes Hwy,-37.93007562,145.15207223,https://transport.vic.gov.au/stop/16155/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,1541,False,False,212041317,Springvale,"631,800",2
15410,Latvian Ret Village/High Street Rd,-37.87707967,145.2320517,https://transport.vic.gov.au/stop/16156/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15410,False,False,211011260,Wantirna South,737,1
15411,Jenola Pde/High Street Rd,-37.87705737,145.22936902,https://transport.vic.gov.au/stop/16157/?utm_source=open_data_click_stop&utm_medium=open_data_stop_click&utm_campaign=open_data_click,,,0,Level 0,,bus,15411,False,False,211011260,Wantirna South,737,1
