suburb_id,suburb_name,centroid_lat,centroid_lng
209031215,Wattle Glen - Diamond Creek,-37.667740939313816,145.1673032710553
209041216,Bundoora - North,-37.682825584528615,145.07119435193053
209041217,Bundoora - West,-37.69291659818406,145.05257907501095
209041220,Mill Park - North,-37.65952058537316,145.0677107997011
209041221,Mill Park - South,-37.67140236210391,145.0592303928692
209041223,Thomastown,-37.683855847126175,145.00827419174055
209041224,Wallan,-37.38482723191139,145.07161919885556
209041225,Whittlesea,-37.49792622906599,145.1019724870165
209041431,Epping - East,-37.63578877784317,145.04538855103422
209041432,Epping - South,-37.63921484105075,144.99650756958098
209041433,Epping (Vic.) - West,-37.631941377822294,145.0100495611052
209041435,South Morang - North,-37.62371377291517,145.08253651907776
209041436,South Morang - South,-37.645727265747325,145.08558277167407
209041437,Wollert,-37.59093469599246,145.00506275672967
209041527,Doreen - North,-37.58819081258549,145.12684313852816
209041528,Doreen - South,-37.611445358317134,145.12106831126073
209041529,Lalor - East,-37.66897557768477,145.02835788492
209041530,Lalor - West,-37.66058935092116,144.99461649852344
209041531,Mernda - North,-37.584250554975206,145.08550042044953
209041532,Mernda - South,-37.60591238190172,145.07558126174607
210011226,Airport West,-37.723821341199745,144.8812995650561
210011227,Essendon Airport,-37.726907248638454,144.90040872306164
210011228,Keilor,-37.718945672918395,144.84445679682196
210011230,Niddrie - Essendon West,-37.74499613390879,144.8848926042988
210011231,Strathmore,-37.72992840036332,144.91367185883854
210011533,Avondale Heights,-37.761551359263436,144.86260637295072
210011534,Keilor East,-37.742187220549006,144.86611323334856
210021232,Gisborne,-37.49548439428497,144.55519316964677
210021233,Macedon,-37.411928365558055,144.5732603043449
210021234,Riddells Creek,-37.438248827325786,144.67769990436233
210021235,Romsey,-37.34994062129848,144.76342908578002
210031236,Coburg North,-37.72699097550086,144.9674555344426
210031237,Fawkner,-37.705234222227425,144.96960601587685
210031439,Gowanbrae,-37.702801415768114,144.89755156628638
210031440,Hadfield,-37.710108392511415,144.95029811568114
210031535,Glenroy - East,-37.70194710566915,144.93495362436437
210031536,Glenroy - West,-37.70509781717111,144.90966152435206
210031537,Oak Park,-37.71960440042228,144.91789208446934
210031538,Pascoe Vale,-37.72453871786891,144.9388992241954
210041240,Sunbury,-37.539437807452536,144.76756797372295
210041539,Diggers Rest,-37.61599017244422,144.68246252890648
210041540,Sunbury - South,-37.613636559841176,144.73789055379618
210041541,Sunbury - West,-37.538112580368185,144.6720670423305
210051242,Broadmeadows,-37.68408287184822,144.92932188880832
210051243,Campbellfield - Coolaroo,-37.66391889487908,144.95184304292638
210051245,Gladstone Park - Westmeadows,-37.676270740131855,144.8907978479726
210051246,Greenvale - Bulla,-37.62363008394303,144.83536129386763
210051247,Meadow Heights,-37.65116482991955,144.9185548063954
210051248,Melbourne Airport,-37.676419949648604,144.83651568896337
210051250,Tullamarine,-37.69613998257746,144.87723125985877
