stop_id,hour,departure_count,mode,avg_departures_per_hour
12221,21,16,train,3.2
26535,21,16,train,3.2
12212,21,16,train,3.2
12210,21,16,train,3.2
12206,21,16,train,3.2
12238,21,18,train,3.6
12241,21,18,train,3.6
12244,21,18,train,3.6
12248,21,18,train,3.6
11120,21,36,train,7.2
11121,21,36,train,7.2
11122,21,18,train,3.6
11245,21,18,train,3.6
11247,21,18,train,3.6
11249,21,18,train,3.6
11410,21,18,train,3.6
11412,22,18,train,3.6
12237,22,57,train,11.4
12234,22,18,train,3.6
12232,22,18,train,3.6
12230,22,18,train,3.6
12226,22,18,train,3.6
12225,22,18,train,3.6
12221,22,16,train,3.2
26535,22,16,train,3.2
12212,22,16,train,3.2
12210,22,16,train,3.2
12206,22,16,train,3.2
12238,22,18,train,3.6
12241,22,18,train,3.6
12244,22,18,train,3.6
12248,22,18,train,3.6
12260,22,19,train,3.8
11213,22,45,train,9.0
11120,22,36,train,7.2
11121,22,36,train,7.2
11122,22,18,train,3.6
11245,22,18,train,3.6
11247,22,18,train,3.6
11249,22,18,train,3.6
11410,22,18,train,3.6
11412,23,19,train,3.8
12237,23,50,train,10.0
12234,23,18,train,3.6
12232,23,18,train,3.6
12230,23,18,train,3.6
12226,23,18,train,3.6
12225,23,18,train,3.6
12221,23,16,train,3.2
26535,23,16,train,3.2
12212,23,16,train,3.2
12210,23,16,train,3.2
12206,23,16,train,3.2
12238,23,18,train,3.6
12241,23,18,train,3.6
12244,23,18,train,3.6
12248,23,18,train,3.6
12260,23,20,train,4.0
11213,23,36,train,7.2
11120,4,15,train,3.0
11121,4,17,train,3.4
11122,4,16,train,3.2
11245,5,22,train,4.4
11247,5,23,train,4.6
11249,5,23,train,4.6
11410,5,23,train,4.6
11412,5,16,train,3.2
12236,5,25,train,5.0
11413,5,16,train,3.2
11411,5,15,train,3.0
11409,5,16,train,3.2
11248,5,16,train,3.2
11246,5,9,train,1.8
11123,5,9,train,1.8
11121,5,25,train,5.0
11120,5,23,train,4.6
12236,19,19,train,3.8
11123,6,16,train,3.2
11121,6,46,train,9.2
11120,6,37,train,7.4
12236,6,39,train,7.8
12236,21,34,train,6.8
12236,22,34,train,6.8
11413,20,26,train,5.2
11411,20,16,train,3.2
11409,20,23,train,4.6
11248,20,23,train,4.6
11246,20,23,train,4.6
11123,20,31,train,6.2
11120,23,36,train,7.2
11121,23,36,train,7.2
11122,23,18,train,3.6
11245,23,18,train,3.6
11247,23,18,train,3.6
11249,23,18,train,3.6
11410,23,18,train,3.6
12236,23,35,train,7.0
11413,21,18,train,3.6
11411,21,18,train,3.6
11409,21,18,train,3.6
11248,21,18,train,3.6
11246,21,18,train,3.6
11123,21,18,train,3.6
11412,0,18,train,3.6
12237,0,40,train,8.0
11413,22,18,train,3.6
11411,22,18,train,3.6
11409,22,18,train,3.6
11248,22,18,train,3.6
11246,22,18,train,3.6
11123,22,18,train,3.6
11120,0,23,train,4.6
11121,0,31,train,6.2
11122,0,13,train,2.6
11245,0,13,train,2.6
11247,0,13,train,2.6
11249,0,13,train,2.6
11410,0,14,train,2.8
11413,23,18,train,3.6
11411,23,18,train,3.6
11409,23,18,train,3.6
11248,23,18,train,3.6
11246,23,18,train,3.6
11123,23,18,train,3.6
12236,0,34,train,6.8
11413,0,18,train,3.6
11411,0,18,train,3.6
11409,0,18,train,3.6
11248,0,18,train,3.6
11246,0,18,train,3.6
11123,0,18,train,3.6
11119,0,8,train,1.6
11245,4,9,train,1.8
11247,4,8,train,1.6
11249,4,8,train,1.6
11410,4,8,train,1.6
11412,4,9,train,1.8
12236,4,11,train,2.2
12234,4,9,train,1.8
12232,4,9,train,1.8
12230,4,9,train,1.8
12226,5,30,train,6.0
12225,5,30,train,6.0
12221,5,30,train,6.0
26535,5,30,train,6.0
12212,5,30,train,6.0
12210,5,30,train,6.0
12206,5,30,train,6.0
12260,5,30,train,6.0
12200,5,31,train,6.2
12198,5,31,train,6.2
12196,5,24,train,4.8
22189,5,24,train,4.8
22189,13,65,train,13.0
12196,13,58,train,11.6
12198,13,58,train,11.6
12200,13,58,train,11.6
12261,13,65,train,13.0
12249,13,34,train,6.8
12245,13,34,train,6.8
12235,14,34,train,6.8
11413,14,17,train,3.4
11411,14,17,train,3.4
11409,14,17,train,3.4
11248,14,17,train,3.4
11246,14,17,train,3.4
11123,14,17,train,3.4
11122,5,16,train,3.2
12237,5,46,train,9.2
12234,5,30,train,6.0
12232,5,30,train,6.0
12230,5,30,train,6.0
12251,6,30,train,6.0
12242,14,34,train,6.8
12239,14,27,train,5.4
12207,14,34,train,6.8
12211,14,34,train,6.8
12213,14,34,train,6.8
26536,14,34,train,6.8
12222,14,34,train,6.8
12224,14,34,train,6.8
12227,14,34,train,6.8
12229,14,34,train,6.8
12231,14,34,train,6.8
12233,14,34,train,6.8
11412,6,30,train,6.0
12234,6,72,train,14.4
12232,6,65,train,13.0
12230,6,65,train,13.0
12226,6,72,train,14.4
12225,6,58,train,11.6
12221,6,51,train,10.2
26535,6,44,train,8.8
12212,6,44,train,8.8
12210,6,44,train,8.8
12206,6,37,train,7.4
12249,14,20,train,4.0
12245,14,20,train,4.0
12235,15,41,train,8.2
11413,15,24,train,4.8
11411,15,17,train,3.4
11409,15,17,train,3.4
11248,15,17,train,3.4
