toilet_id,suburb_id,suburb_name,name,lat,lon,has_female,has_male,has_wheelchair,has_baby_facility,operator
23,206041505,Melbourne CBD - West,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),-37.82034212858627,144.96421972799456,True,True,True,False,City of Melbourne
24,206041507,Royal Botanic Gardens Victoria,Public Toilet - Toilet 109 - Kings Domain Myer Music Bowl Rear of,-37.82289159858857,144.975280957334,True,True,True,True,City of Melbourne
25,206041503,Melbourne CBD - East,Public Toilet - Toilet 125 - Gordon Reserve (74-108 Spring Street),-37.81224077558713,144.97392555886628,True,False,False,False,City of Melbourne
26,206041119,East Melbourne,Public Toilet - Toilet 119 - Fitzroy Gardens Toilets (150 Clarendon Street),-37.81203615704364,144.98307493665166,True,True,True,False,City of Melbourne
27,206041507,Royal Botanic Gardens Victoria,Public Toilet - Toilet 107 - Alexandra Park,-37.82764304616528,144.9818116607595,True,True,True,False,City of Melbourne
28,206041505,Melbourne CBD - West,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),-37.814345522392365,144.9551179464378,True,True,True,False,City of Melbourne
29,206041117,Carlton,Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),-37.80625893301874,144.9692027022002,True,True,True,False,City of Melbourne
30,206041504,Melbourne CBD - North,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),-37.80894206847336,144.9656488455227,False,True,False,False,City of Melbourne
31,206041117,Carlton,Public Toilet - Toilet 138 - Carlton Gardens North (Opposite 199 Rathdowne Street),-37.80264555498511,144.96982128721504,True,True,True,False,City of Melbourne
32,206041118,Docklands,Public Toilet - Ron Barassi Senior Park Pavilion,-37.81722059052804,144.93400271183998,,,,,City of Melbourne
33,206041119,East Melbourne,Public Toilet - Toilet 112 - Alexandra Gardens (Riverslide Skate Park),-37.8203552728411,144.9733129088743,True,True,True,False,City of Melbourne
34,206041117,Carlton,Public Toilet - Toilet 179 - Lincoln Square (138-142 Bouverie Street),-37.80271182455448,144.96226812695767,True,True,True,False,City of Melbourne
35,206041118,Docklands,"Public Toilet - Victoria Harbour, Shed 3 (North Wharf Road)",-37.819795975740334,144.93766540530564,False,True,False,False,City of Melbourne
36,206041119,East Melbourne,Public Toilet - Toilet 118 - Fitzroy Gardens (2 Lansdowne Street),-37.815278082082735,144.97758877995486,True,True,True,False,City of Melbourne
37,206041504,Melbourne CBD - North,Public Toilet - Toilet 34 - Franklin Street (Opposite 80 Franklin Street),-37.8082334704767,144.9601868749377,True,True,True,False,City of Melbourne
38,206041117,Carlton,Public Toilet - Toilet 137 - Faraday Street (Opposite 208-212 Faraday Street),-37.798709597015986,144.9675938800973,True,True,False,False,City of Melbourne
39,206041125,South Yarra - West,Public Toilet - Toilet 103 - Kings Domain South (Opposite 169 Domain Road),-37.83393826633729,144.9817840463506,True,True,True,False,City of Melbourne
40,206041503,Melbourne CBD - East,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),-37.81383779217631,144.96309721024045,True,False,False,False,City of Melbourne
41,206041504,Melbourne CBD - North,Public Toilet - Toilet 142 - Queensberry Street (Adjacent 179 Queensberry Street),-37.80463970714722,144.96285021945613,False,True,False,False,City of Melbourne
42,206041118,Docklands,"Public Toilet - Victoria Harbour, Shed 2 (North Wharf Road)",-37.818924455699296,144.9342385117904,True,True,True,False,City of Melbourne
